Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Tony Brown,CB,Alabama,6-0,198,4.35,31.5,14,126,6.78,4.11
Equanimeous St. brown,WR,Notre Dame,6-5,214,4.48,,20,,,
Taven Bryan,DT,Florida,6-4,291,4.98,35.0,30,119,7.12,4.48
Oren Burks,OLB,Vanderbilt,6-3,233,4.59,39.5,18,131,6.82,4.15
Deontay Burnett,WR,USC,6-0,186,,,,,,
Jason Cabinda,ILB,Penn State,6-1,239,,,19,,,
Deon Cain,WR,Clemson,6-2,202,4.43,33.5,11,115,6.71,4.37
Antonio Callaway,WR,Florida,5-11,200,4.41,34.0,,121,,
Chris Campbell,CB,Penn State,6-1,194,,,14,,,
Dylan Cantrell,WR,Texas Tech,6-3,226,4.59,38.5,18,130,6.56,4.03
Alex Cappa,OT,Humboldt State,6-6,305,5.39,26.5,24,97,8.04,4.84
Tanner Carew,LS,Oregon,6-1,243,5.00,30.0,18,111,7.26,4.28
Daniel Carlson,K,Auburn,6-5,213,,,,,,
Lorenzo Carter,EDGE,Georgia,6-6,250,4.50,36.0,,130,,
Andre Chachere,CB,San Jose State,6-0,200,4.49,38.0,13,123,6.78,4.07

Sean Chandler,S,Temple,6-0,190,4.65,34.5,16,119,,4.62
D.J. Chark,WR,LSU,6-3,199,4.34,40.0,16,129,,
Geron Christian,OT,Louisville,6-5,298,5.33,,19,,,
Bradley Chubb,DE,North Carolina State,6-4,269,4.65,36.0,24,121,7.37,4.41
Nick Chubb,RB,Georgia,5-11,227,4.52,38.5,29,128,7.09,4.25
Jack Cichy,ILB,Wisconsin,6-2,238,,,18,,,
Will Clapp,C,LSU,6-4,311,5.39,29.0,25,97,8.04,4.92
Simmie Cobbs,WR,Indiana,6-3,220,4.64,30.0,11,113,6.70,4.32
Mason Cole,C,Michigan,6-4,307,5.23,23.5,23,104,7.77,4.78
Lavon Coleman,RB,Washington,5-11,215,4.65,33.0,23,120,,
Tyler Conklin,TE,Central Michigan,6-3,254,4.80,38.0,18,120,7.13,4.23
Austin Corbett,OG,Nevada,6-4,306,5.15,28.0,19,106,7.87,4.50
Keke Coutee,WR,Texas Tech,5-10,181,4.43,34.5,14,113,6.93,4.15
Chris Covington,OLB,Indiana,6-2,245,4.78,,23,,,
Justin Crawford,RB,West Virginia,5-11,199,4.64,33.5,11,122,,
Tyrell Crosby,OT,Oregon,6-5,309,5.23,30.0,17,105,7.89,4.77
Dane Cruikshank,S,Arizona,6-1,206,4.41,38.5,25,121,6.89,4.24
Trevor Daniel,P,Tennessee,6-1,230,4.98,32.5,23,119,,
James Daniels,C,Iowa,6-3,306,,30.5,21,108,7.29,4.40
Sam Darnold,QB,USC,6-3,221,4.85,26.5,,105,6.96,4.40
Marcus Davenport,DE,Texas-San Antonio,6-6,264,4.58,33.5,22,124,7.20,4.41
Joseph Davidson,P,Bowling Green,6-7,232,,,,,,
Carlton Davis,CB,Auburn,6-1,203,4.53,34.0,16,124,,
Duke Dawson,CB,Florida,5-10,208,4.46,,15,,,
Dee Delaney,CB,Miami (FL),6-1,194,4.46,32.5,13,120,6.95,4.25
Nick Deluca,OLB,North Dakota State,6-3,251,4.85,29.5,18,112,7.09,4.23
Jamil Demby,OG,Maine,6-4,319,5.58,23.5,17,98,7.86,4.95
Matt Dickerson,DE,UCLA,6-4,292,5.06,31.0,26,,,
Michael Dickson,P,Texas,6-2,208,,,,,,
Will Dissly,TE,Washington,6-4,262,4.87,28.0,15,111,7.07,4.40
Garret Dooley,EDGE,Wisconsin,6-3,248,4.80,33.0,21,121,,4.28
Chase Edmonds,RB,Fordham,5-9,205,4.55,34.0,19,122,6.79,4.07
Terrell Edmunds,S,Virginia Tech,6-2,220,4.47,41.5,,134,,
Tremaine Edmunds,LB,Virginia Tech,6-5,253,4.54,,19,117,,
Duke Ejiofor,DE,Wake Forest,6-4,264,,,,,,
Deshon Elliott,S,Texas,6-2,205,4.58,36.0,15,121,,
Donnie Ernsberger,RB,Western Michigan,6-3,241,4.78,31.0,15,114,7.09,4.34
Leighton Vander esch,ILB,Boise State,6-4,256,4.65,39.5,20,124,6.88,4.15
Danny Etling,QB,LSU,6-2,222,4.76,30.5,,114,7.09,4.37
Rashaan Evans,LB,Alabama,6-3,232,,30.0,,116,6.95,4.36
Brandon Facyson,CB,Virginia Tech,6-2,197,4.53,,16,,,
Luke Falk,QB,Washington State,6-4,215,,26.5,,103,,
Rashard Fant,CB,Indiana,5-10,175,,,,,,
Foley Fatukasi,DT,Connecticut,6-4,318,5.29,30.0,33,112,7.44,4.53
Riley Ferguson,QB,Memphis,6-3,212,4.98,29.0,,110,6.96,4.40
Kylie Fitts,EDGE,Utah,6-4,263,4.69,32.5,31,117,6.88,4.19
Minkah Fitzpatrick,DB,Alabama,6-1,201,4.46,33.0,14,121,,
Quinton Flowers,QB,South Florida,5-10,214,4.63,,,112,6.81,4.57
Dimitri Flowers,RB,Oklahoma,6-2,248,4.83,30.5,17,109,7.45,4.53
Tre Flowers,S,Oklahoma State,6-3,200,4.45,34.5,18,122,,

Robert Foster,WR,Alabama,6-2,196,4.41,31.0,,116,6.90,4.20
Jarvion Franklin,RB,West. Michigan,5-11,239,4.63,30.0,18,109,6.93,4.31
John Franklin-Myers,DE,Stephen F. Austin,6-4,283,4.75,33.0,26,113,7.36,4.48
Joshua Frazier,DT,Alabama,6-4,321,,,21,,,
Royce Freeman,RB,Oregon,5-11,229,4.54,34.0,17,118,6.90,4.16
Troy Fumagalli,TE,Wisconsin,6-5,247,,,14,,,
Michael Gallup,WR,Colorado State,6-1,205,4.51,36.0,10,122,6.95,4.37
Nick Gates,OT,Nebraska,6-5,307,5.46,24.0,20,94,7.61,4.68
Rashaan Gaulden,CB,Tennessee,6-1,193,4.61,30.0,8,119,7.16,4.33
Mike Gesicki,TE,Penn State,6-5,247,4.54,41.5,22,129,6.76,4.10
Dallas Goedert,TE,South Dakota State,6-5,256,,,23,,,
Colby Gossett,OG,Appalachian State,6-5,311,5.20,25.0,32,103,7.60,4.83
Davon Grayson,WR,East Carolina,6-1,199,4.51,34.5,19,124,,
Rasheem Green,DE,USC,6-5,275,4.73,32.5,,118,7.24,4.39
Shaquem Griffin,OLB,Central Florida,6-1,227,4.38,,20,117,,
Derrius Guice,RB,LSU,5-10,224,4.49,31.5,15,,,
Grant Haley,CB,Penn State,5-9,190,4.44,34.0,15,119,6.51,3.94
Shaun dion Hamilton,ILB,Alabama,6-0,228,,,20,,,
Daesean Hamilton,WR,Penn State,6-1,203,,34.5,,118,6.84,4.15
Dashawn Hand,DE,Alabama,6-4,297,4.83,31.5,28,111,7.98,4.62
Davontae Harris,CB,Illinois State,6-0,200,4.43,32.5,22,123,6.96,4.40
Marcell Harris,S,Florida,6-0,208,,,16,,,
Desmond Harrison,OT,West Georgia,6-6,292,4.90,,,,,
Ronnie Harrison,S,Alabama,6-3,214,,34.0,,120,,
Marquis Haynes,EDGE,Mississippi,6-3,235,4.67,32.0,23,123,7.14,4.45
Taylor Hearn,OG,Clemson,6-4,320,5.45,24.0,18,96,7.84,4.80
James Hearns,EDGE,Louisville,6-3,239,4.89,,22,,,
Quadree Henderson,WR,Pittsburgh,5-8,192,4.50,32.5,12,120,6.89,4.28
Zaycoven Henderson,DT,Texas A&M,6-0,298,5.16,29.5,20,105,7.33,4.58
Will Hernandez,OG,Texas-El Paso,6-2,327,5.15,24.0,37,104,7.59,4.70
Chris Herndon,TE,Miami (FL),6-4,253,,,21,,,
Kyle Hicks,RB,TCU,5-10,204,4.63,36.5,13,122,,
B.J. Hill,DT,North Carolina State,6-4,311,4.99,26.5,35,101,7.28,4.53
Holton Hill,CB,Texas,6-3,200,4.49,31.0,14,120,6.83,4.15
Nyheim Hines,RB,North Carolina State,5-8,198,4.38,35.5,,119,7.18,4.35
Jeff Holland,EDGE,Auburn,6-2,249,4.79,,,116,,
Jalyn Holmes,DE,Ohio State,6-5,283,4.82,32.0,25,,,
Sam Hubbard,DE,Ohio State,6-5,270,,35.0,,116,6.84,4.32
Mike Hughes,CB,Central Florida,5-11,191,4.53,35.5,20,127,6.70,4.13
Hayden Hurst,TE,South Carolina,6-4,250,4.67,31.5,,120,7.19,4.37
Maurice Hurst,DT,Michigan,6-2,292,,,,,,
Godwin Igwebuike,S,Northwestern,6-0,205,4.44,35.5,19,128,6.56,4.12
Darren Carrington II,WR,Utah,6-2,199,,36.0,,120,,
Joel Iyiegbuniwe,LB,Western Kentucky,6-1,229,4.60,35.0,19,117,7.06,4.28
Ryan Izzo,TE,Florida State,6-5,256,4.94,33.0,18,110,7.15,4.43
Darius Jackson,EDGE,Jacksonville State,6-3,242,4.87,26.5,21,113,7.52,
Donte Jackson,CB,LSU,5-11,175,4.32,,7,124,,
J.C. Jackson,CB,Maryland,5-11,193,4.46,35.5,14,120,,
Josh Jackson,CB,Iowa,6-1,192,4.56,38.0,18,123,6.86,4.03
Justin Jackson,RB,Northwestern,6-0,199,4.52,38.5,13,122,6.81,4.07

Lamar Jackson,QB,Louisville,6-2,216,,,,,,
Leon Jacobs,EDGE,Wisconsin,6-3,246,4.48,34.5,26,122,7.14,4.44
Natrell Jamerson,S,Wisconsin,6-0,198,4.40,35.5,25,120,,
Derwin James,S,Florida State,6-3,215,4.47,40.0,21,132,,
Richie James,WR,Middle Tennessee State,5-10,183,4.48,35.5,6,122,6.87,4.16
Malik Jefferson,OLB,Texas,6-3,236,4.52,36.0,27,125,,
Josey Jewell,ILB,Iowa,6-1,234,4.82,33.0,18,117,6.80,4.27
Danny Johnson,CB,Southern,5-10,185,4.44,35.0,15,123,,
Kerryon Johnson,RB,Auburn,5-11,213,,40.0,11,126,7.07,4.29
Taron Johnson,CB,Weber State,6-0,180,4.50,33.0,17,118,7.03,4.28
Chris Jones,CB,Nebraska,6-0,195,4.57,,14,,,
Jamarco Jones,OT,Ohio State,6-4,299,5.50,24.0,,102,8.32,4.99
Justin Jones,DT,North Carolina State,6-2,309,5.09,29.0,24,104,7.82,4.74
Ronald Jones,RB,USC,5-11,205,4.65,36.5,,,,
Sam Jones,OG,Arizona State,6-5,305,5.32,27.0,28,101,7.92,4.86
Jaryd Jones-Smith,OT,Pittsburgh,6-6,317,5.22,27.0,16,109,8.10,4.94
Michael Joseph,CB,Dubuque,6-1,181,,34.0,17,,6.89,4.20
Peter Kalambayi,EDGE,Stanford,6-3,252,4.57,34.0,19,121,7.13,4.36
Joshua Kalu,S,Nebraska,6-1,195,4.58,41.5,17,134,,
John Kelly,RB,Tennessee,5-10,216,,35.0,15,120,7.13,4.51
Kameron Kelly,S,San Diego State,6-2,200,4.66,33.0,9,120,6.94,4.28
Arden Key,EDGE,LSU,6-6,238,,31.0,,117,7.16,4.25
Jamarcus King,CB,South Carolina,6-1,186,4.70,,,,,
Christian Kirk,WR,Texas A&M,5-10,201,4.47,35.5,20,115,7.09,4.45
Micah Kiser,ILB,Virginia,6-2,238,4.66,35.5,,121,7.05,4.24
Chris Lacy,WR,Oklahoma State,6-3,205,4.51,33.5,11,120,,
Harold Landry,EDGE,Boston Col.,6-3,252,4.64,36.0,24,119,6.88,4.19
Jordan Lasley,WR,UCLA,6-1,203,4.50,34.5,8,112,,4.19
Kyle Lauletta,QB,Richmond,6-3,222,4.81,31.0,,113,6.95,4.07
Allen Lazard,WR,Iowa State,6-5,227,4.55,38.0,17,122,,
Tanner Lee,QB,Nebraska,6-4,218,4.98,32.0,,115,7.00,4.41
Darius Leonard,OLB,South Carolina State,6-2,234,4.70,,17,,,
Rick Leonard,OT,Florida State,6-7,311,,,19,,,
Tyquan Lewis,EDGE,Ohio State,6-3,265,,35.5,,122,,
Chase Litton,QB,Marshall,6-5,230,4.90,29.5,,106,7.49,4.53
James Looney,DE,California,6-3,287,4.89,35.5,28,113,7.32,4.37
Lowell Lotulelei,DT,Utah,6-2,315,,,28,,,
Avonte Maddox,CB,Pittsburgh,5-9,180,4.39,37.0,13,125,6.51,4.00
Cole Madison,OL,Washington State,6-5,308,5.33,28.5,26,97,7.86,4.88
K.J. Malone,OG,LSU,6-4,303,5.34,29.5,15,103,,
Tavares Martin,WR,Washington State,6-1,177,4.80,31.5,,,,
Hercules Mata'afa,EDGE,Washington State,6-1,254,4.76,31.5,26,108,7.24,4.37
Baker Mayfield,QB,Oklahoma,6-1,215,4.84,29.0,,111,7.00,4.28
Ray-ray McCloud,WR,Clemson,5-9,190,4.53,34.5,13,113,,
Mike McCray,ILB,Michigan,6-4,243,4.76,31.5,16,119,7.09,4.25
Kc McDermott,OG,Miami (FL),6-6,311,5.35,23.5,26,97,7.72,4.82
Tarvarus McFadden,CB,Florida State,6-2,198,4.67,38.5,,121,,
Mike McGlinchey,OT,Notre Dame,6-8,309,,28.5,24,105,,
R.J. McIntosh,DT,Miami (FL),6-4,286,,,,,,
Kahlil McKenzie,DT,Tennessee,6-5,314,5.15,29.5,26,105,7.94,4.68

Quenton Meeks,DB,Stanford,6-2,205,,39.0,11,128,6.72,4.23
Sony Michel,RB,Georgia,5-11,214,4.54,,22,,,4.21
Anthony Miller,WR,Memphis,5-11,201,,,22,,,
Kolton Miller,OT,UCLA,6-9,309,4.95,31.5,24,121,7.34,4.49
Steven Mitchell,WR,USC,5-10,189,4.56,32.5,13,121,6.75,4.40
Jmon Moore,WR,Missouri,6-3,207,4.60,38.0,21,120,6.56,4.04
D.J. Moore,WR,Maryland,6-0,210,4.42,39.5,15,132,6.95,4.07
Kamrin Moore,CB,Boston Col.,5-11,200,,,,,,
Skai Moore,OLB,South Carolina,6-2,226,4.73,36.0,,117,,
Ryan Nall,RB,Oregon State,6-2,232,4.58,33.0,15,122,6.95,4.16
Siran Neal,S,Jacksonville State,6-0,199,4.56,40.5,17,122,7.00,4.28
Nick Nelson,CB,Wisconsin,5-11,208,4.52,,17,123,,
Quenton Nelson,OG,Notre Dame,6-5,325,,26.5,35,105,7.65,4.62
Bilal Nichols,DT,Delaware,6-4,306,4.95,,29,,,
Parry Nickerson,CB,Tulane,6-0,180,4.32,,15,,,
Derrick Nnadi,DT,Florida State,6-1,317,5.38,27.0,25,96,8.15,5.02
Kendrick Norton,DT,Miami (FL),6-3,314,5.25,,30,,,
Joseph Noteboom,OT,TCU,6-5,309,4.96,24.0,27,102,7.65,4.44
Uchenna Nwosu,EDGE,USC,6-3,251,4.65,32.0,20,119,,
Dorian O'daniel,OLB,Clemson,6-1,223,4.61,32.0,21,119,6.64,4.07
Brian O'neill,OT,Pittsburgh,6-7,297,4.82,29.5,22,107,7.14,4.50
Chukwuma Okorafor,OT,West. Michigan,6-6,320,5.31,23.5,19,102,7.87,4.80
Ogbonnia Okoronkwo,EDGE,Oklahoma,6-1,253,4.77,38.0,27,121,,
Isaiah Oliver,CB,Colorado,6-1,190,4.50,,,,,
Brandon Parker,OT,North Carolina A&T,6-8,305,5.40,28.5,,113,7.82,4.68
Timon Parris,OT,Stony Brook,6-6,312,,,27,,,
Daron Payne,DT,Alabama,6-2,311,4.95,28.5,27,107,7.58,4.71
Rashaad Penny,RB,San Diego State,5-11,220,4.46,32.5,13,120,,
Kamryn Pettway,RB,Auburn,6-0,233,4.74,33.5,22,116,,
Skyler Phillips,OG,Idaho State,6-3,318,5.10,29.0,,104,7.95,4.69
Cam Phillips,WR,Virginia Tech,6-0,201,,,,,,
Darius Phillips,CB,West. Michigan,5-10,190,4.54,,,,,
Harrison Phillips,DT,Stanford,6-4,307,5.21,32.0,42,103,7.28,4.50
Eddy Pineiro,K,Florida,6-0,185,,,,,,
Billy Price,C,Ohio State,6-4,305,,,,,,
Byron Pringle,WR,Kansas State,6-1,203,4.46,33.5,15,120,6.87,4.40
Jacob Pugh,OLB,Florida State,6-4,246,4.65,38.5,,122,,
Scott Quessenberry,C,UCLA,6-4,310,5.09,33.5,25,111,7.50,4.69
Trey Quinn,WR,SMU,5-11,203,4.55,33.5,17,116,6.91,4.19
Frank Ragnow,C,Arkansas,6-5,312,,,26,,,
Martinas Rankin,OL,Mississippi State,6-4,308,,,24,,,
Max Redfield,S,Indiana (PA),6-1,205,4.69,,15,,,
D.J. Reed,CB,Kansas State,5-9,188,4.51,36.5,11,,,
Justin Reid,S,Stanford,6-1,204,4.40,36.5,16,128,6.65,4.15
Demario Richard,RB,Arizona State,5-9,218,4.70,29.5,12,115,,
Will Richardson,OT,North Carolina State,6-6,306,5.26,31.5,,108,7.80,4.83
Calvin Ridley,WR,Alabama,6-0,189,4.43,31.0,15,110,6.88,4.41
Stephen Roberts,S,Auburn,5-11,189,4.53,34.0,,121,,
Korey Robertson,WR,Southern Miss,6-1,212,4.56,34.0,13,123,,
Javon Rolland-Jones,EDGE,Arkansas State,6-2,253,4.88,,23,,,

Josh Rosen,QB,UCLA,6-4,226,4.92,31.0,,111,7.09,4.28
Olubunmi Rotimi,DE,Old Dominion,6-4,273,,32.0,21,113,7.46,4.70
Mason Rudolph,QB,Oklahoma State,6-5,235,4.90,26.0,,,,
Christian Sam,ILB,Arizona State,6-2,244,4.75,32.0,28,114,7.03,4.25
Jaylen Samuels,TE,North Carolina State,5-11,225,4.54,34.5,18,121,6.93,4.28
Dominick Sanders,S,Georgia,6-0,193,,,14,,,
Tegray Scales,ILB,Indiana,6-0,230,4.77,,27,,,
Bo Scarbrough,RB,Alabama,6-1,228,4.52,40.0,14,129,,4.34
Dalton Schultz,TE,Stanford,6-5,244,4.75,32.0,15,120,7.00,4.40
Jaleel Scott,WR,New Mexico State,6-5,218,4.56,34.5,16,124,7.20,4.40
Jk Scott,P,Alabama,6-6,208,4.83,30.5,,114,7.28,4.41
Deadrin Senat,DT,South Florida,6-0,314,5.16,26.0,35,100,7.77,4.79
Greg Senat,OT,Wagner,6-6,302,5.38,26.0,19,106,7.41,4.71
Tim Settle,DT,Virginia Tech,6-3,329,5.37,23.5,,96,7.95,4.83
Coleman Shelton,C,Washington,6-3,292,5.24,26.5,,110,7.62,4.59
Nathan Shepherd,DT,Fort Hays State,6-5,315,5.09,31.0,,112,7.50,4.53
Nic Shimonek,QB,Texas Tech,6-3,220,4.88,28.5,,101,7.28,4.32
Trequan Smith,WR,Central Florida,6-2,203,4.49,37.5,12,130,6.97,4.50
Andre Smith,ILB,North Carolina,6-0,237,4.63,,19,,,
Braden Smith,OG,Auburn,6-6,315,5.22,33.5,35,113,,4.77
Roquan Smith,OLB,Georgia,6-1,236,4.51,,,,,
Van Smith,S,Clemson,5-11,185,4.61,29.5,,,,
Durham Smythe,TE,Notre Dame,6-5,253,4.81,31.0,18,110,7.17,4.23
Breeland Speaks,DT,Mississippi,6-3,283,4.87,32.5,,110,7.63,4.65
Taylor Stallworth,DT,South Carolina,6-2,312,5.28,23.5,18,101,7.95,4.75
M.J. Stewart,CB,North Carolina,5-11,200,4.54,35.0,18,118,6.90,4.28
Kentavius Street,DE,North Carolina State,6-2,280,4.87,,28,,,
Greg Stroman,CB,Virginia Tech,6-0,180,4.48,33.5,16,113,,4.45
Chandon Sullivan,CB,Georgia State,5-11,195,4.60,40.5,15,134,,4.36
Courtland Sutton,WR,SMU,6-3,218,4.54,35.5,18,124,6.57,4.11
Josh Sweat,EDGE,Florida State,6-4,251,4.53,39.5,,124,,4.28
Auden Tate,WR,Florida State,6-5,228,4.68,31.0,,112,,
Rod Taylor,OT,Mississippi,6-3,320,5.24,30.5,,99,,
Wyatt Teller,OG,Virginia Tech,6-4,314,5.24,29.0,30,114,7.45,4.84
Jordan Thomas,CB,Oklahoma,6-0,186,4.64,38.0,4,124,6.28,3.94
Chad Thomas,DE,Miami (FL),6-6,281,4.92,29.0,,116,,
Ian Thomas,TE,Indiana,6-4,259,4.74,36.0,,123,7.15,4.20
Jordan Thomas,TE,Mississippi State,6-5,265,4.74,27.0,16,111,7.50,4.75
Matthew Thomas,OLB,Florida State,6-3,232,4.58,41.5,,131,6.85,4.28
Roc Thomas,RB,Jacksonville State,5-10,198,4.56,35.5,16,125,,
Trenton Thompson,DT,Georgia,6-4,288,5.06,32.5,,111,7.68,4.56
Henre Toliver,CB,Arkansas,6-1,185,4.63,32.5,6,117,7.01,4.15
Kevin Toliver,CB,LSU,6-3,204,,33.0,10,120,,
Brett Toth,OT,Army,6-6,291,,,,,,
Johnny Townsend,P,Florida,6-1,210,,,,,,
Shane Tripucka,P,Texas A&M,6-3,211,,,,,,
Salesi Uhatafe,OG,Utah,6-5,310,5.40,28.0,,109,7.70,4.90
Marquez Valdes-Scantling,WR,South Florida,6-4,206,4.37,30.5,15,124,,
Vita Vea,DT,Washington,6-4,347,5.10,,41,,,
Azeem Victor,ILB,Washington,6-1,240,4.72,32.5,19,115,7.20,4.40

Dmontre Wade,CB,Murray State,6-0,200,4.57,35.5,15,120,,4.40
Akrum Wadley,RB,Iowa,5-10,194,4.54,32.0,12,,,
Trey Walker,S,Louisiana-Lafayette,6-2,200,4.51,33.0,14,119,7.00,4.28
Levi Wallace,CB,Alabama,6-0,183,4.63,33.0,,,,
Mark Walton,RB,Miami (FL),5-10,202,4.60,31.5,18,118,,
Denzel Ward,CB,Ohio State,5-10,183,4.32,39.0,16,136,,
Fred Warner,OLB,BYU,6-3,236,4.64,38.5,21,119,6.90,4.28
Chris Warren,RB,Texas,6-2,247,4.69,33.0,25,121,6.98,4.18
James Washington,WR,Oklahoma State,5-11,213,4.54,34.5,14,120,7.11,4.32
Armani Watts,S,Texas A&M,5-11,205,,35.0,13,120,7.25,4.37
Jester Weah,WR,Pittsburgh,6-2,211,4.43,38.0,15,129,7.24,4.41
Toby Weathersby,OT,LSU,6-4,317,5.34,24.5,28,106,8.55,5.38
Damon Webb,S,Ohio State,5-11,195,4.62,,17,,,
David Wells,TE,San Diego State,6-6,256,4.75,33.0,20,116,7.50,4.59
Sean Welsh,C,Iowa,6-3,306,5.43,25.0,20,103,7.90,4.81
Karaun White,WR,West Virginia,6-1,206,4.52,33.5,24,118,7.16,4.57
Kyzir White,S,West Virginia,6-2,216,,35.5,21,113,,
Mike White,QB,Western Kentucky,6-5,224,5.09,27.0,,96,7.40,4.40
Jordan Whitehead,S,Pittsburgh,5-11,195,,,21,,,
Jojo Wicker,DE,Arizona State,6-3,296,5.16,30.0,25,105,,
Jake Wieneke,WR,South Dakota State,6-4,221,4.67,34.0,9,114,7.24,4.37
Jordan Wilkins,RB,Mississippi,6-1,216,,36.0,16,117,,4.27
Connor Williams,OT,Texas,6-5,296,5.05,34.0,26,112,7.83,4.63
Darrel Williams,RB,LSU,6-0,225,4.72,32.0,22,109,,4.21
Eddy Wilson,DT,Purdue,6-4,301,5.37,,26,96,,
Cedrick Wilson,WR,Boise State,6-2,197,4.55,37.0,9,121,6.89,4.23
Jeff Wilson,RB,North Texas,5-11,210,,,15,,,
Javon Wims,WR,Georgia,6-3,215,4.53,33.5,,113,7.00,
Anthony Winbush,EDGE,Ball State,6-1,249,,,25,110,,
Ryan Winslow,P,Pittsburgh,6-5,217,,,,,,
Logan Woodside,QB,Toledo,6-1,213,4.79,31.5,,103,6.94,4.15
Chris Worley,ILB,Ohio State,6-2,238,4.86,29.5,15,,,
Isaiah Wynn,OG,Georgia,6-3,313,,,,,,
Isaac Yiadom,CB,Boston Col.,6-1,190,4.52,,8,120,,4.18
Kenny Young,ILB,UCLA,6-1,236,4.60,36.0,23,117,7.38,4.48
Trevon Young,EDGE,Louisville,6-4,258,4.78,33.0,25,114,6.99,4.40
