"Player","School","Class","Birthdate","Years","Final Age","Position","Combine","Height","Weight","Hand","Arm","Wing","Forty","Bench","Vert","Broad","Cone","Shuttle"
"Joseph Ngata","Clemson","2019","1/9/2001","4","22.0","WR","1","75.3","217","10.3","33.1",,"4.5",,"34.5","124.0",,
"Zach Charbonnet","UCLA","2019","1/8/2001","4","22.0","RB","1","72.0","214","9.9",,,"4.5",,"37","122.0",,
"Titus Swen","Wyoming","2019","1/1/2001","4","22.0","RB","0",,,,,,,,,,,
"Brenton Strange","Penn State","2019","12/27/2000","4","22.0","TE","1","75.8","253","9.6","31.1",,"4.7",,"36","124.0","7.25","4.46"
"C.J. Johnson","East Carolina","2019","11/4/2000","4","22.2","WR","1","73.6","224","10.3",,,,,,,,
"Tucker Kraft","South Dakota State","2019","11/3/2000","4","22.2","TE","1","77.0","254",,"32.8",,"4.7",,"34","122.0","7.08","4.29"
"Elijah Higgins","Stanford","2019","10/27/2000","4","22.2","WR","1","75.0","235","10.5","31.8",,"4.5",,"35","126.0","7.01",
"Evan Hull","Northwestern","2019","10/26/2000","4","22.2","RB","1","70.0","209","9.3","30.6",,"4.5",,"37","123.0","6.9","4.38"
"Zakhari Franklin","Texas-San Antonio","2019","10/15/2000","4","22.2","WR","0",,,,,,,,,,,
"Jared Wayne","Pittsburgh","2019","10/7/2000","4","22.2","WR","0",,,,,,,,,,,
"Dontay Demus","Maryland","2018","9/26/2000","5","22.3","WR","1","74.6","212","9.8","34.3",,"4.6",,"35.5","123.0",,"4.39"
"Derius Davis","Texas Christian","2018","9/11/2000","5","22.3","WR","1","68.4","165",,"29.3",,"4.4",,,,,"4.38"
"Tyler Hudson","Louisville","2019","9/11/2000","4","22.3","WR","0",,,,,,,,,,,
"Zay Flowers","Boston College","2019","9/11/2000","4","22.3","WR","1","69.3","182","9.3","29.3",,"4.4",,"35.5","127.0",,
"Luke Musgrave","Oregon State","2019","9/2/2000","4","22.3","TE","1","77.9","253","10.4","32.6",,"4.6",,"36","125.0",,
"Amare Jones","Georgia Southern","2018","8/29/2000","5","22.4","WR","0",,,,,,,,,,,
"Malik Knowles","Kansas State","2018","8/17/2000","5","22.4","WR","1","74.3","196","8.8","32.3",,,,,,,
"KeSean Carter","Houston","2018","8/15/2000","5","22.4","WR","0",,,,,,,,,,,
"Tre'Shaun Harrison","Oregon State","2018","6/26/2000","5","22.5","WR","0",,,,,,,,,,,
"Marshon Ford","Louisville","2018","6/22/2000","5","22.5","TE","0",,,,,,,,,,,
"Trea Shropshire","Alabama-Birmingham","2018","6/21/2000","5","22.5","WR","0",,,,,,,,,,,
"Joel Wilson","Central Michigan","2018","6/21/2000","5","22.5","TE","0",,,,,,,,,,,
"Payne Durham","Purdue","2018","6/15/2000","5","22.6","TE","1","77.6","253","9.8","33.4",,"4.9",,"34.5","117.0",,
"Xavier Hutchinson","Iowa State","2018","6/1/2000","5","22.6","WR","1","73.9","203","9.4","31.4",,"4.5",,"36","116.0","6.91","4.35"
"Tavion Thomas","Utah","2018","5/22/2000","5","22.6","RB","1","72.0","237","9.3","31.1",,"4.7",,"30","118.0",,
"Ben Sims","Baylor","2018","5/16/2000","5","22.6","TE","0",,,,,,,,,,,
"Jalen Brooks","South Carolina","2018","5/7/2000","5","22.7","WR","1","73.0","201","9.5","34.1",,"4.7",,"35","130.0","7.15","4.31"
"Jayden Reed","Michigan State","2018","4/28/2000","5","22.7","WR","1","70.8","187","9.1","30.5",,"4.5",,"33.5","121.0",,"4.29"
"Tanner McKee","Stanford","2018","4/27/2000","5","22.7","QB","1","77.6","231","9.4","32.9",,,,"33","114.0","7.22","4.41"
"Jordan Murray","Hawaii","2018","4/20/2000","5","22.7","TE","0",,,,,,,,,,,
"Cedric Tillman","Tennessee","2018","4/19/2000","5","22.7","WR","1","75.0","213",,"32.8",,"4.5",,"37","128.0",,
"Deneric Prince","Tulsa","2018","4/11/2000","5","22.7","RB","1","72.0","216","9.3","31.3",,"4.4",,"35.5","124.0",,
"Justin Shorter","Florida","2018","4/7/2000","5","22.7","WR","1","75.8","229",,"33.8",,"4.6",,"35.5","126.0",,
"Blake Whiteheart","Wake Forest","2018","3/22/2000","5","22.8","TE","1","75.9","247","8.8","32.1",,"4.7",,"35.5","115.0",,
"Chase Brown","Illinois","2018","3/21/2000","5","22.8","RB","1","69.6","209",,,,"4.4",,"40","127.0",,
"Malachi Carter","Georgia Tech","2018","3/15/2000","5","22.8","WR","0",,,,,,,,,,,
"Max Duggan","Texas Christian","2019","3/12/2000","4","22.8","QB","1","73.6","207","9.9","30.4",,"4.5",,"30.5","116.0","7.26","4.45"
"Bryce Ford-Wheaton","West Virginia","2018","3/9/2000","5","22.8","WR","1","75.5","221","9.4","33.5",,"4.4",,"41","129.0","6.97","4.15"
"Malik Heath","Mississippi","2018","3/3/2000","5","22.8","WR","1","74.4","213","9.1","32.5",,"4.6",,"34","124.0","6.96","4.46"
"Kenny McIntosh","Georgia","2019","3/3/2000","4","22.8","RB","1","72.0","204",,"30.5",,"4.6",,,,,
"Hunter Luepke","North Dakota State","2018","2/28/2000","5","22.9","RB","1","73.0","230","9.6","31.5",,,,,,,
"Cameron Latu","Alabama","2018","2/24/2000","5","22.9","TE","1","76.3","242","9.5","32.4",,,,,,,
"Michael Wilson","Stanford","2018","2/23/2000","5","22.9","WR","1","73.6","213","9.8",,,"4.6",,"37.5","125.0",,"4.27"
"Toa Taua","Nevada","2018","2/15/2000","5","22.9","RB","0",,,,,,,,,,,
"Davis Allen","Clemson","2019","2/3/2000","4","22.9","TE","1","77.5","245",,"32.3",,"4.8",,"38.5","125.0",,
"Ronnie Bell","Michigan","2018","1/28/2000","5","22.9","WR","1","71.6","191","9.5",,,"4.5",,"38.5","120.0","6.98","4.15"
"Christopher Brooks","Brigham Young","2018","1/11/2000","5","23.0","RB","0",,,,,,,,,,,
"Jaray Jenkins","Louisiana State","2018","1/4/2000","5","23.0","WR","1","73.8","204",,"31.8",,"4.6",,"29.5",,,
"Duece Watts","Tulane","2018","12/23/1999","5","23.0","WR","0",,,,,,,,,,,
"Michael Jefferson","Louisiana","2018","12/21/1999","5","23.0","WR","1","75.8","199","9.6","32.5",,"4.6",,"37","133.0","7.03","4.56"
"Kearis Jackson","Georgia","2018","12/9/1999","5","23.1","WR","1","71.4","196","9.4","31.3",,"4.6",,,"126.0",,
"Jayson Jackson","Ball State","2018","12/6/1999","5","23.1","WR","0",,,,,,,,,,,
"Brycen Tremayne","Stanford","2018","11/18/1999","5","23.1","WR","0",,,,,,,,,,,
"Antoine Green","North Carolina","2018","11/15/1999","5","23.1","WR","1","73.8","199",,"32.1",,"4.5",,"33.5","123.0","6.99","4.27"
"Dorian Thompson-Robinson","UCLA","2018","11/14/1999","5","23.1","QB","1","73.5","203","9.9","30.6",,"4.6",,"32.5","121.0","7.28","4.44"
"Brayden Willis","Oklahoma","2018","11/11/1999","5","23.2","TE","1","75.8","241","9.8","33.3",,,,"32","117.0","7.3","4.36"
"Holton Ahlers","East Carolina","2018","11/10/1999","5","23.2","QB","0",,,,,,,,,,,
"Nikko Remigio","Fresno State","2018","11/4/1999","5","23.2","WR","0",,,,,,,,,,,
"Eric Gray","Oklahoma","2019","11/4/1999","4","23.2","RB","1","69.6","207","9.8","29.6",,,,"37.5","118.0",,
"Sam James","West Virginia","2018","10/31/1999","5","23.2","WR","0",,,,,,,,,,,
"Nathaniel Dell","Houston","2018","10/29/1999","5","23.2","WR","1","68.4","165","8.6","30.5",,"4.5",,,"121.0",,
"A.T. Perry","Wake Forest","2018","10/26/1999","5","23.2","WR","1","75.6","198","9.3","33.3",,"4.5",,"35","133.0",,
"Shedrick Jackson","Auburn","2018","10/20/1999","5","23.2","WR","0",,,,,,,,,,,
"Dalton Kincaid","Utah","2018","10/18/1999","5","23.2","TE","1","75.6","246","10.3","32.6",,,,,,,
"Andrei Iosivas","Princeton","2018","10/15/1999","5","23.2","WR","1","75.1","205","8.8",,,"4.4",,"39","128.0","6.85","4.12"
"SaRodorick Thompson","Texas Tech","2018","10/1/1999","5","23.3","RB","1","71.6","207",,"31.6",,"4.7",,"32.5","120.0","7.25","4.70"
"Christopher Rodriguez Jr.","Kentucky","2018","9/26/1999","5","23.3","RB","1","72.0","217","8.6","30.6",,,,,,,
"Daniel Barker","Michigan State","2018","9/23/1999","5","23.3","TE","0",,,,,,,,,,,
"Luke Ford","Illinois","2018","9/23/1999","5","23.3","TE","0","78.0","268","9.5",,,,,,,,
"Mitchell Tinsley","Penn State","2018","9/15/1999","5","23.3","WR","1","71.8","199",,"32.4",,"4.6",,"35.5","120.0",,"4.21"
"Camerun Peoples","Appalachian State","2018","9/14/1999","5","23.3","RB","1","73.0","217","9.8","32.6",,"4.6",,"37","121.0",,
"Chris Smith","Louisiana","2018","9/8/1999","5","23.3","RB","0",,,,,,,,,,,
"Josh Whyle","Cincinnati","2018","9/8/1999","5","23.3","TE","1","78.6","248","9.5","31.5",,,,"33.5","115.0",,
"Eric Gallman","Duke","2017","9/5/1999","6","23.3","WR","0",,,,,,,,,,,
"Travis Dye","Southern California","2018","8/24/1999","5","23.4","RB","1","70.0","201","9.3","28.9",,,,,,,
"Marcell Barbee","Texas State","2018","8/22/1999","5","23.4","WR","0",,,,,,,,,,,
"Jesse Matthews","San Diego State","2018","8/12/1999","5","23.4","WR","0",,,,,,,,,,,
"Ontaria Wilson","Florida State","2017","8/12/1999","6","23.4","WR","0",,,,,,,,,,,
"Jacob Copeland","Maryland","2018","7/19/1999","5","23.5","WR","1","71.1","201","8.6","31.6",,"4.4",,"33","127.0","7.01","4.47"
"Isaiah Bowser","Central Florida","2018","7/14/1999","5","23.5","RB","0",,,,,,,,,,,
"Will Levis","Kentucky","2018","6/27/1999","5","23.5","QB","1","75.9","229","10.6",,,,,"34","124.0",,
"Matt Landers","Arkansas","2017","6/16/1999","6","23.6","WR","1","76.4","200","9.3","32.5",,"4.4",,"37","130.0",,
"Jordan Mims","Fresno State","2017","6/16/1999","6","23.6","RB","0",,,,,,,,,,,
"Zack Kuntz","Old Dominion","2018","6/9/1999","5","23.6","TE","1","78.6","255","10.3",,,"4.6",,"40","128.0","6.87","4.12"
"Will Mallory","Miami (FL)","2018","6/2/1999","5","23.6","TE","1","76.6","239","9.4","32.3",,"4.5",,"36.5","121.0",,
"Camren McDonald","Florida State","2018","5/30/1999","5","23.6","TE","0",,,,,,,,,,,
"Jalen Wayne","South Alabama","2017","5/13/1999","6","23.7","WR","1","73.5","210","9.4","32.1",,"4.5",,"34.5","124.0",,
"Jeremy Singleton","Georgia Southern","2017","4/29/1999","6","23.7","WR","0",,,,,,,,,,,
"Tanner Morgan","Minnesota","2017","4/17/1999","6","23.7","QB","0",,,,,,,,,,,
"Ellis Merriweather","Massachusetts","2017","4/7/1999","6","23.8","RB","0",,,,,,,,,,,
"Griffin Hebert","Louisiana Tech","2017","4/2/1999","6","23.8","TE","0",,,,,,,,,,,
"Jaylen Hall","Western Kentucky","2017","3/31/1999","6","23.8","WR","0",,,,,,,,,,,
"Clayton Tune","Houston","2018","3/23/1999","5","23.8","QB","1","74.6","220","9.4","31.4",,"4.6",,"37.5","122.0","6.89","4.25"
"Princeton Fant","Tennessee","2017","3/11/1999","6","23.8","TE","0",,,,,,,,,,,
"Jake Haener","Fresno State","2017","3/10/1999","6","23.8","QB","1","72.0","207","9.4","29.8",,,,"35","114.0","7.01",
"Carlos Carriere","Central Michigan","2017","2/24/1999","6","23.9","WR","0",,,,,,,,,,,
"Noah Gindorff","North Dakota State","2017","2/12/1999","6","23.9","TE","1","77.6","263",,"33.1",,,,,,,
"Jason Brownlee","Southern Mississippi","2018","1/30/1999","5","23.9","WR","1","74.0","198","9.8","33.8",,"4.6",,"39.5","131.0",,
"Ta'Zhawn Henry","Houston","2018","1/25/1999","5","23.9","RB","0",,,,,,,,,,,
"Daewood Davis","Western Kentucky","2017","1/23/1999","6","24.0","WR","0",,,,,,,,,,,
"Emari Demercado","Texas Christian","2018","1/20/1999","5","24.0","RB","0",,,,,,,,,,,
"Adonicas Sanders","Temple","2017","1/13/1999","6","24.0","WR","0",,,,,,,,,,,
"Tyjon Lindsey","Oregon State","2017","1/7/1999","6","24.0","WR","0",,,,,,,,,,,
"Adrian Martinez","Kansas State","2018","1/7/1999","5","24.0","QB","0",,,,,,,,,,,
"Braydon Johnson","Oklahoma State","2017","12/2/1998","6","24.1","WR","0",,,,,,,,,,,
"Mac Hippenhammer","Miami (OH)","2017","11/5/1998","6","24.2","WR","0",,,,,,,,,,,
"E.J. Jenkins","Georgia Tech","2017","11/3/1998","6","24.2","TE","0",,,,,,,,,,,
"Charlie Jones","Purdue","2017","10/29/1998","6","24.2","WR","1","71.3","175",,"31.6",,"4.4",,"36.5","124.0",,
"Keytaon Thompson","Virginia","2017","10/23/1998","6","24.2","WR","0",,,,,,,,,,,
"Elijah Cooks","San Jose State","2017","10/13/1998","6","24.2","WR","0",,,,,,,,,,,
"Jamal Turner","Toledo","2017","10/8/1998","6","24.2","TE","0",,,,,,,,,,,
"Malik Cunningham","Louisville","2017","10/6/1998","6","24.3","QB","1","71.9","192","9.5","31.4",,"4.5",,,,,
"Kade Warner","Kansas State","2017","9/29/1998","6","24.3","WR","0",,,,,,,,,,,
"Luke Schoonmaker","Michigan","2018","9/28/1998","5","24.3","TE","1","77.0","251",,"32.9",,"4.6",,"33.5","127.0",,"4.27"
"Calvin Tyler Jr.","Utah State","2017","9/23/1998","6","24.3","RB","0",,,,,,,,,,,
"Mohamed Ibrahim","Minnesota","2017","9/8/1998","6","24.3","RB","1","68.0","203",,"28.6",,,,,,,
"Daniel Arias","Colorado","2018","9/2/1998","5","24.3","WR","0",,,,,,,,,,,
"Jalen Holston","Virginia Tech","2017","9/2/1998","6","24.3","RB","0",,,,,,,,,,,
"John Samuel Shenker","Auburn","2017","9/2/1998","6","24.3","TE","0",,,,,,,,,,,
"Aidan O'Connell","Purdue","2017","9/1/1998","6","24.3","QB","1","75.0","213","9.8","32.3",,,,,,,
"Brady Russell","Colorado","2017","8/31/1998","6","24.4","TE","0",,,,,,,,,,,
"Tommy Devito","Illinois","2017","8/7/1998","6","24.4","QB","0",,,,,,,,,,,
"Jake Bobo","UCLA","2018","8/4/1998","5","24.4","WR","1","76.0","206",,"32.3",,,,,,,
"Sean Clifford","Penn State","2017","7/14/1998","6","24.5","QB","0",,,,,,,,,,,
"Xazavian Valladay","Arizona State","2017","7/3/1998","6","24.5","RB","0",,,,,,,,,,,
"N'Kosi Perry","Florida Atlantic","2017","6/30/1998","6","24.5","QB","0",,,,,,,,,,,
"Travis Vokolek","Nebraska","2017","6/4/1998","6","24.6","TE","1","78.0","259","9.5","32.9",,,,,"115.0",,
"Khalan Laborn","Marshall","2017","6/1/1998","6","24.6","RB","0",,,,,,,,,,,
"Joel Honigford","Michigan","2017","4/27/1998","6","24.7","TE","0",,,,,,,,,,,
"Jaren Hall","Brigham Young","2016","3/24/1998","7","24.8","QB","1","72.1","207","9.5","29.8",,,,,,,
"Kemore Gamble","Central Florida","2017","2/2/1998","6","24.9","TE","0",,,,,,,,,,,
"Leonard Taylor","Cincinnati","2018","1/27/1998","5","24.9","TE","1","76.8","250","10.1","32.8",,,,,,,
"Chase Brice","Appalachian State","2017","1/27/1998","6","24.9","QB","0",,,,,,,,,,,
"Hendon Hooker","Tennessee","2017","1/13/1998","6","25.0","QB","1","75.1","217","10.5",,,,,,,,
"D.J. Matthews","Indiana","2017","12/2/1997","6","25.1","WR","0",,,,,,,,,,,
"Stetson Bennett","Georgia","2017","10/28/1997","6","25.2","QB","1","71.3","192",,"28.9",,"4.7",,"33.5","118.0",,"4.20"
"Logan Bonner","Utah State","2016","9/24/1997","7","25.3","QB","0",,,,,,,,,,,
"Johnny Lumpkin","Louisiana","2016","9/3/1997","7","25.3","TE","0",,,,,,,,,,,
"Demario Douglas","Liberty","2019",,"4",,"WR","1","67.9","179","8.8","30.3",,"4.4",,"39.5","134.0",,"4.29"
"Dontayvion Wicks","Virginia","2019",,"4",,"WR","1","73.0","206",,"32.4",,"4.6",,"39","130.0",,
"Kyle Patterson","Air Force","2019",,"4",,"TE","1","77.1","260","9.3","32.5",,,,,,,
"Michael Ezeike","UCLA","2018",,"5",,"TE","0",,,,,,,,,,,
